year_month,altitude_bin,ktemp
2002-01,101,189.19043818181817
2002-02,100,185.98761726114648
2002-03,90,189.01691663716812
2002-04,99,177.34929325714285
2002-05,100,193.5230436065574
2002-06,98,180.956778956044
2002-07,98,185.12645230215827
2002-08,100,183.26915354430375
2002-09,100,178.12877722222223
2002-10,99,186.2449602762431
2002-11,95,189.5637908
2002-12,97,185.4701920863309
2003-01,95,184.50806265734263
2003-02,97,184.162296875
2003-03,95,188.3507802162162
2003-04,100,168.26991504672898
2003-05,103,179.80184934911242
2003-06,98,182.77751154761904
2003-07,98,180.98703571428567
2003-08,97,180.3182448322148
2003-09,97,179.56105192090396
2003-10,99,180.33287771739128
2003-11,91,185.78858633136093
2003-12,88,179.68617559701494
2004-01,96,181.30182645714288
2004-02,100,180.655658125
2004-03,97,181.4040646835443
2004-04,99,169.9778612406015
2004-05,97,178.80606135416667
2004-06,98,178.27250293785312
2004-07,96,183.00579210843372
2004-08,99,183.91190072992703
2004-09,97,179.93835558333333
2004-10,86,184.5179656424581
2004-11,77,187.43103391566265
2004-12,94,179.4672415503876
2005-01,86,185.78969415662647
2005-02,98,179.13261064935065
2005-03,96,188.19802188679245
2005-04,99,167.69563541095891
2005-05,78,186.4387536390533
2005-06,99,174.47917203608247
2005-07,97,178.595092875817
2005-08,99,182.09393286821705
2005-09,99,185.3626450857143
2005-10,97,183.4397351980198
2005-11,98,183.15513585185187
2005-12,84,180.54780559210525
2006-01,93,183.8208844936709
2006-02,98,177.0203254491018
2006-03,95,181.84322701136364
2006-04,98,170.4495556716418
2006-05,102,185.9796823783784
2006-06,99,178.16242843023255
2006-07,97,177.57140303030303
2006-08,99,179.95442329457364
2006-09,98,184.63542662337665
2006-10,100,176.71186963736264
2006-11,79,185.9476923529412
2006-12,97,175.40094078740157
2007-01,86,182.3685001136364
2007-02,99,183.51455827160493
2007-03,97,184.9127052
2007-04,99,175.42976032786885
2007-05,101,180.42093151315788
2007-06,98,174.9278346236559
2007-07,97,182.47700905109488
2007-08,99,182.8627193452381
2007-09,97,177.57791285714288
2007-10,99,181.16487532663317
2007-11,97,180.98214555555555
2007-12,96,174.82232012903228
2008-01,97,183.80660782258065
2008-02,99,184.4178802617801
2008-03,89,181.38614417112305
2008-04,99,165.63188219512196
2008-05,98,184.0349217857143
2008-06,98,176.16468434554972
2008-07,96,173.23056704
2008-08,99,179.04941071942446
2008-09,97,178.65556817204302
2008-10,100,173.55201562827224
2008-11,97,180.06454083333335
2008-12,99,175.0414077011494
2009-01,97,182.94522448275865
2009-02,100,175.6021208125
2009-03,96,180.38110912568305
2009-04,98,171.7609615686275
2009-05,101,182.61876708333332
2009-06,98,173.41220423357663
2009-07,100,173.08829392405065
2009-08,97,179.73258847222223
2009-09,100,182.1121082022472
2009-10,99,178.9917350857143
2009-11,97,181.20356170886075
2009-12,93,180.8487
2010-01,98,182.17795859770115
2010-02,97,181.8478683522727
2010-03,90,183.28565812903227
2010-04,99,173.23770714285715
2010-05,99,179.92596797385622
2010-06,96,176.3044416170213
2010-07,99,179.40374985815603
2010-08,97,179.24397377358488
2010-09,98,176.82990392592592
2010-10,99,181.85951222222224
2010-11,97,185.89525514880955
2010-12,98,185.84134581818185
2011-01,96,179.1480583888889
2011-02,95,180.92381370165745
2011-03,91,179.93840342857143
2011-04,99,168.8193022857143
2011-05,100,182.28335683229813
2011-06,98,175.51142494565218
2011-07,97,176.99278347826086
2011-08,101,180.36742212328767
2011-09,99,184.4874332
2011-10,99,184.7238235869565
2011-11,79,187.25091012048196
2011-12,90,184.5397468115942
2012-01,96,181.2703872189349
2012-02,99,185.19691116959063
2012-03,96,179.42639214723926
2012-04,99,171.42717855072462
2012-05,98,189.07347216666668
2012-06,98,173.45985054597702
2012-07,99,183.2703246994536
2012-08,98,177.9528168027211
2012-09,98,180.20208778443117
2012-10,99,179.2811138150289
2012-11,93,184.3182347133758
2012-12,82,179.88041148648648
2013-01,98,178.8541340909091
2013-02,100,178.39509189944135
2013-03,97,182.3442427878788
2013-04,99,175.1241248366013
2013-05,100,187.05162420118344
2013-06,97,187.27220255747127
2013-07,97,181.06709366666664
2013-08,98,176.66064564102564
2013-09,96,181.9831380120482
2013-10,99,181.72174668367347
2013-11,93,187.0290251724138
2013-12,84,180.18373492753625
2014-01,97,182.32954904761905
2014-02,87,187.06243192307693
2014-03,98,179.43045210526316
2014-04,100,166.58914143835617
2014-05,76,186.83942520231216
2014-06,98,175.86569715025908
2014-07,100,178.83038625714286
2014-08,101,184.4658718471337
2014-09,99,178.88148441717792
2014-10,100,181.38216912820516
2014-11,99,177.46823717948718
2014-12,99,184.79005174193549
2015-01,84,188.43499444444444
2015-02,87,185.17558796052631
2015-03,97,181.07598221476508
2015-04,100,173.19244172185432
2015-05,100,183.7403248
2015-06,99,176.90227402061856
2015-07,101,182.1672987861272
2015-08,100,177.90107223776224
2015-09,100,175.99472872928175
2015-10,100,181.9303044502618
2015-11,97,184.4326573426573
2015-12,89,185.03610018072288
2016-01,98,183.12817624309392
2016-02,100,183.3697719047619
2016-03,97,181.9718554391892
2016-04,100,173.3970648255814
2016-05,98,182.6948569587629
2016-06,100,178.74454296296295
2016-07,100,178.0987448979592
2016-08,100,178.73740395973152
2016-09,99,179.86483914634147
2016-10,98,181.5374304519774
2016-11,96,182.56194074626868
2016-12,96,178.38851582278485
2017-01,99,183.64918977272723
2017-02,98,178.08133815068493
2017-03,98,168.7826112195122
2017-04,100,173.73510000000002
2017-05,99,178.22976023255814
2017-06,99,177.25305435897437
2017-07,97,174.4412234057971
2017-08,99,180.939601552795
2017-09,96,180.7619749180328
2017-10,98,181.9544527346939
2017-11,97,180.96472595041325
2017-12,97,181.31118376623377
2018-01,84,181.270086440678
2018-02,98,182.27295534031413
2018-03,99,173.95054718705035
2018-04,103,173.1381610687023
2018-05,98,178.55325147239265
2018-06,98,175.1898937244898
2018-07,96,177.61755931034483
2018-08,97,180.77437706766915
2018-09,99,172.19733922279795
2018-10,101,177.6787406818182
2018-11,98,177.76684595419846
2018-12,96,182.89189950354609
2019-01,97,176.29405406698567
2019-02,88,178.24643426751592
2019-03,98,166.51209041538462
2019-04,99,179.49985394736842
2019-05,96,177.6874969948718
2019-06,100,169.50865364473682
2019-07,98,170.87217645962733
2019-08,98,181.11246154929577
2019-09,99,175.7567914213198
2019-10,100,180.90919930481283
2019-11,95,178.69620260162603
2019-12,97,178.75025412195123
2020-01,98,178.14418468085108
2020-02,95,181.8880078888889
2020-03,98,173.61890328947368
2020-04,81,184.6371798260869
2020-05,98,173.93500918660288
2020-06,99,177.6081280821918
2020-07,98,177.27547605839416
2020-08,96,178.5277946666667
2020-09,97,172.3344359893048
2020-10,100,177.87466858695652
2020-11,98,178.4875806521739
2020-12,96,184.25167820809247
2021-01,88,180.9929024260355
2021-02,96,182.32278543478265
2021-03,97,172.01310013513512
2021-04,100,185.24550897260275
2021-05,98,178.95331783505154
2021-06,96,178.45076505521473
2021-07,99,178.84574873239438
2021-08,97,177.82640580246914
2021-09,100,182.18981929411763
2021-10,97,183.4086722222222
2021-11,97,180.71771454545456
2021-12,96,177.9461429473684
2022-01,88,183.5655126315789
2022-02,93,183.89695008187132
2022-03,99,171.03324644776117
2022-04,98,182.2620535810811
2022-05,96,175.77803044554454
2022-06,98,183.3875894512195
2022-07,97,181.18260947712417
2022-08,98,181.16124433939396
2022-09,98,183.47365762626265
2022-10,98,182.99061771929823
2022-11,99,172.3670191666667
2022-12,98,185.19322701149423
2023-01,86,186.82628439790577
2023-02,97,182.97034933774836
2023-03,99,170.23139288732392
2023-04,78,186.5408825806452
2023-05,99,182.812725990099
2023-06,97,180.80935004411765
2023-07,98,183.10940183206108
2023-08,100,179.09989195530724
2023-09,100,181.51196033898304
2023-10,98,185.2038483516484
2023-11,99,181.5514105594405
2023-12,98,187.947580877193
2024-01,98,184.37393684210528
2024-02,96,184.17897057971012
2024-03,99,158.92400444025157
2024-04,98,181.72525416666667
2024-05,98,180.2205325301205
2024-06,97,188.51741846153843
2024-07,100,177.27545997080293
2024-08,99,183.03412104395605
2024-09,101,178.45582848863637
2024-10,82,187.77254485380115
2024-11,100,178.93938352
2024-12,96,187.91327598765432
